;abaque d'&#233;chelle;N;N;n.m.;Abaque permettant de d&#233;terminer l'&#233;chelle d'une carte en un point donn&#233;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;abattage;N;N;n.m.;Modelage consistant &#224; riper les gradins &#224; l'outil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;abscisse;N;N;n.f.;Coordonn&#233;e rectangulaire d'un point du plan de projection le long de l'axe dont la direction est voisine de celle des parall&#232;les.;;Coordonn&#233;es & projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COORD. & PROJECTIONS;;;;;;;;;;;;;;
;clich&#233; tram&#233;;N;N;n.m.;Clich&#233; r&#233;sultant d'une op&#233;ration de tram&#233; photographique &#224; partir d'une image de teintes plates ou de demi-teintes.;;;;;;;;;;Clich&#233; r&#233;sultant de la reproduction photographique d'une planche de r&#233;daction tram&#233;e.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;coupure;N;N;n.f.;Unit&#233; de fractionnement d'un d&#233;coupage ;;;;;;;;;;Champ d'une carte constituant ou non une unit&#233; de d&#233;coupage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;pictocarte ;N;N;n.f.;Document obtenu par un proc&#233;d&#233; de reproduction d'une image en demi-teintes, le plus souvent une photographie a&#233;rienne ou spatiale, &#233;vitant l'emploi d'une trame en provoquant la d&#233;composition directe de l'image en points tr&#232;s fins selon une structure irr&#233;guli&#232;re;;;;;trame magenta;;;;;Carte r&#233;dig&#233;e sur un fond obtenu par reproduction de documents photographiques a&#233;riens ou spatiaux &#224; l'aide du proc&#233;d&#233; pr&#233;c&#233;dent ou par tram&#233;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
